Vacuum Cleaner,Home Appliances,Appliances Section,Cleaning Supplies Area,Can be returned within 30 days with original packaging and receipt
Running Shorts,Apparel,Athletic Wear Section,Rack 6,Can be returned within 30 days with tags attached and original receipt
Hair Straightener,Beauty,Beauty Section,Aisle 5,Can be returned within 30 days with original packaging and receipt
Lawn Mower,Outdoor Equipment,Outdoor Living Section,Gardening Supplies Area,Can be returned within 30 days with original packaging and receipt
Travel Pillow,Bags & Luggage,Travel Section,Aisle 11,Can be returned within 30 days with tags attached and original receipt
Sneakers,Footwear,Shoe Department,Rack 3,Can be returned within 30 days if unworn and with original packaging
Blender,Home Appliances,Appliances Section,Kitchen Appliances Area,Can be returned within 30 days with original packaging and receipt
Fishing Rod,Sporting Goods,Fishing Section,Aisle 12,Can be returned within 30 days with original packaging and receipt
Camping Tent,Outdoor Equipment,Outdoor Living Section,Camping Gear Area,Can be returned within 30 days with original packaging and receipt
Daybed,Home Furniture,Furniture Department,Showroom Area,Can be returned within 30 days with original packaging and receipt
Sunscreen,Beauty,Beauty Section,Aisle 6,Can be returned within 14 days if unopened and with original packaging
Dress Shoes,Footwear,Shoe Department,Rack 4,Can be returned within 30 days if unworn and with original packaging
Tool Set,Tools & Hardware,Home Improvement Section,Tool Department,Can be returned within 30 days with original packaging and receipt
Basketball,Sporting Goods,Basketball Section,Aisle 13,Can be returned within 30 days with original packaging and receipt
Item Name,Item Category,Location Description,Specific Location Details,Return Policy
iPhone 13,Electronics,Electronics Section,Next to the entrance,Can be returned within 30 days with original packaging and receipt
Leather Jacket,Apparel,Clothing Section,Rack 5,Can be returned within 30 days with tags attached and original receipt
Throw Pillow,Home Decor,Home & Decor Section,Decorative Accents Area,Can be returned within 30 days with original packaging and receipt
Mascara,Beauty,Beauty Section,Aisle 3,Can be returned within 14 days if unopened and with original packaging
Treadmill,Fitness Equipment,Sporting Goods Section,Exercise Equipment Area,Can be returned within 30 days with original packaging and receipt
Plush Toy,Kids' Toys,Toys & Games Section,Toy Department,Can be returned within 30 days with tags attached and original receipt
Smart TV,Electronics,Electronics Section,Aisle 2,Can be returned within 30 days with original packaging and receipt
Graphic T-shirt,Apparel,Clothing Section,Rack 8,Can be returned within 30 days with tags attached and original receipt
Wall Clock,Home Decor,Home & Decor Section,Wall Decor Area,Can be returned within 30 days with original packaging and receipt
Lipstick,Beauty,Beauty Section,Aisle 4,Can be returned within 14 days if unopened and with original packaging
Basketball Hoop,Sporting Goods,Basketball Section,Aisle 5,Can be returned within 30 days with original packaging and receipt
Wireless Mouse,Electronics,Electronics Section,Aisle 6,Can be returned within 14 days with original packaging and receipt
Denim Jeans,Apparel,Clothing Section,Rack 10,Can be returned within 30 days with tags attached and original receipt
Framed Artwork,Home Decor,Home & Decor Section,Wall Decor Area,Can be returned within 30 days with original packaging and receipt
Shampoo,Beauty,Beauty Section,Aisle 7,Can be returned within 14 days if unopened and with original packaging
Soccer Ball,Sporting Goods,Soccer Section,Aisle 8,Can be returned within 30 days with original packaging and receipt
Smart Watch,Electronics,Electronics Section,Aisle 9,Can be returned within 30 days with original packaging and receipt
Hoodie,Apparel,Clothing Section,Rack 12,Can be returned within 30 days with tags attached and original receipt
Floor Lamp,Home Decor,Home & Decor Section,Lighting Department,Can be returned within 30 days with original packaging and receipt
Face Mask,Beauty,Beauty Section,Aisle 10,Can be returned within 14 days if unopened and with original packaging
Golf Clubs,Sporting Goods,Golf Section,Aisle 11,Can be returned within 30 days with original packaging and receipt
Tablet,Electronics,Electronics Section,Aisle 12,Can be returned within 30 days with original packaging and receipt
Leather Boots,Footwear,Shoe Department,Rack 15,Can be returned within 30 days if unworn and with original packaging
Throw Blanket,Home Decor,Home & Decor Section,Decorative Accents Area,Can be returned within 30 days with original packaging and receipt
Face Cream,Beauty,Beauty Section,Aisle 13,Can be returned within 14 days if unopened and with original packaging
Cycling Helmet,Sporting Goods,Cycling Section,Aisle 14,Can be returned within 30 days with original packaging and receipt
Bluetooth Speaker,Electronics,Electronics Section,Aisle 15,Can be returned within 30 days with original packaging and receipt
Dress Shirt,Apparel,Clothing Section,Rack 18,Can be returned within 30 days with tags attached and original receipt
Throw Rug,Home Decor,Home & Decor Section,Rug Department,Can be returned within 30 days with original packaging and receipt
Eyeshadow Palette,Beauty,Beauty Section,Aisle 16,Can be returned within 14 days if unopened and with original packaging
Tennis Racket,Sporting Goods,Tennis Section,Aisle 17,Can be returned within 30 days with original packaging and receipt
Bluetooth Earbuds,Electronics,Electronics Section,Aisle 18,Can be returned within 14 days with original packaging and receipt
Swimsuit,Apparel,Swimwear Section,Rack 20,Can be returned within 30 days with tags attached and original receipt
Area Rug,Home Decor,Home & Decor Section,Rug Department,Can be returned within 30 days with original packaging and receipt
Nail Polish,Beauty,Beauty Section,Aisle 19,Can be returned within 14 days if unopened and with original packaging
Hiking Boots,Sporting Goods,Hiking Section,Aisle 20,Can be returned within 30 days if unworn and with original packaging
Digital Camera,Electronics,Electronics Section,Aisle 21,Can be returned within 30 days with original packaging and receipt
Shorts,Apparel,Clothing Section,Rack 22,Can be returned within 30 days with tags attached and original receipt
Throw Pillows,Home Decor,Home & Decor Section,Decorative Accents Area,Can be returned within 30 days with original packaging and receipt
Hand Cream,Beauty,Beauty Section,Aisle 22,Can be returned within 14 days if unopened and with original packaging
Basketball Shoes,Footwear,Shoe Department,Rack 25,Can be returned within 30 days if unworn and with original packaging
Vase,Home Decor,Home & Decor Section,Decorative Accents Area,Can be returned within 30 days with original packaging and receipt
Lip Gloss,Beauty,Beauty Section,Aisle 23,Can be returned within 14 days if unopened and with original packaging
Baseball Bat,Sporting Goods,Baseball Section,Aisle 24,Can be returned within 30 days with original packaging and receipt
Wireless Keyboard,Electronics,Electronics Section,Aisle 25,Can be returned within 14 days with original packaging and receipt
Dress Pants,Apparel,Clothing Section,Rack 28,Can be returned within 30 days with tags attached and original receipt
Curtains,Home Decor,Home & Decor Section,Window Treatments Area,Can be returned within 30 days with original packaging and receipt
Facial Cleanser,Beauty,Beauty Section,Aisle 26,Can be returned within 14 days if unopened and with original packaging
Running Shoes,Footwear,Shoe Department,Rack 30,Can be returned within 30 days if unworn and with original packaging
Area Rug,Home Decor,Home & Decor Section,Rug Department,Can be returned within 30 days with original packaging and receipt
Store timing,Timing, SouthWing, Not Applicable ,"Monday-Friday: 9:00 AM - 9:00 PM, Saturday-Sunday: 8:00 AM -10:00 PM"
